Personality Name,Profession,Source,Link to Individual Personality Sheet,Posts,Instagram Followers,Total Posts Created,Total Posts Published,Engagement Status
Mark Albion,Business theorist,https://en.wikipedia.org/wiki/Mark_Albion,https://drive.google.com/drive/folders/16O7vrr6frHKIO2Ppr1Y8ZFSkArnmJNXs?usp=drive_link,,,,,
William H. Gruber,Business theorist,https://en.wikipedia.org/wiki/William_H._Gruber,https://drive.google.com/drive/folders/1XgmpDMZkMWAvMJIQugnLGLQWCnYkLKjG?usp=drive_link,,,,,
Gary Hamel,Business theorist,https://en.wikipedia.org/wiki/Gary_Hamel,https://drive.google.com/drive/folders/1h6Pby9QMNLPyDEbiNz3SHRxPBYGQg_xE?usp=sharing,,N/A,,,
Philip Kotler,Business theorist,https://en.wikipedia.org/wiki/Philip_Kotler,https://drive.google.com/drive/folders/1zY6esVH87AXvRT2oQAOezI72919uLLG_?usp=sharing,,N/A,,,
Peter Lindgren,Business theorist,https://en.wikipedia.org/wiki/Peter_Lindgren_(business_theorist),https://drive.google.com/drive/folders/16lCmKvqLXrAq8HK3QUNuT4f2UtxYGDyZ?usp=drive_link,,,,,
John C. Maxwell,Business theorist,https://en.wikipedia.org/wiki/John_C._Maxwell,https://drive.google.com/drive/folders/1cfN8JbqN8cfFRK8EQHu6wEaTuZkzKbPK?usp=share_link,,1.2M,,,
Henry Mintzberg,Business theorist,https://en.wikipedia.org/wiki/Henry_Mintzberg,https://drive.google.com/drive/folders/1VFdNPoWOwiFNUWjxtJy2eobwZexJzR10?usp=sharing,,N/A,,,
Thomas J. Peters,Business theorist,https://en.wikipedia.org/wiki/Tom_Peters,https://drive.google.com/drive/folders/1FNWbHzUA6CpXqTZJ3KCr_wRicsNI6zOC?usp=share_link,,N/A,,,
David Meerman Scott,Business theorist,https://en.wikipedia.org/wiki/David_Meerman_Scott,https://drive.google.com/drive/folders/1YfGiQXcEwylQk5WEaAUv3T5ZovwqMEM7?usp=share_link,,10.4K,,,
Rachel Allen,Chef,https://en.wikipedia.org/wiki/Rachel_Allen,https://drive.google.com/drive/folders/1IOLHqrPBewzX01C2MxciN90Iqu0lsuZn?usp=drive_link,,60.3K,,,
Joey Altman,Chef,https://en.wikipedia.org/wiki/Joey_Altman,https://drive.google.com/drive/folders/1L6ybQBCvELR2Xv59bnCPLAEKRGfoe1n9?usp=drive_link,,1010,,,
Elena Arzak,Chef,https://en.wikipedia.org/wiki/Elena_Arzak,https://drive.google.com/drive/folders/1jDaZmB2wIKi-cdUmq0mG_fkIwmnsChD3?usp=drive_link,,,,,
Juan Mari Arzak,Chef,https://en.wikipedia.org/wiki/Juan_Mari_Arzak,https://drive.google.com/drive/folders/1yBVrxPZoFES9U2lUC4U287dz65Zpepy5?usp=drive_link,,,,,
Kenny Atkinson,Chef,https://en.wikipedia.org/wiki/Kenny_Atkinson_(chef),https://drive.google.com/drive/folders/1TnR8_v-TEumhNhHFzuTEdt-LxPWsRUm2?usp=drive_link,,,,,
Jean Bardet,Chef,https://en.wikipedia.org/wiki/Jean_Bardet,https://drive.google.com/drive/folders/1BTe0GNdLLA-1wQiCtLi-fKjUXFeUkOoF?usp=drive_link,,N/A,,,
Paul Bartolotta,Chef,https://en.wikipedia.org/wiki/Paul_Bartolotta,https://drive.google.com/drive/folders/13WJvuMw-7jpgPLw7ONveTbrv_NhejKLa?usp=drive_link,,"1,504",,,
Joe Bastianich,Chef,https://en.wikipedia.org/wiki/Joe_Bastianich,https://drive.google.com/drive/folders/1SOK3u00Wa-enow_H70d6Ig45yo2AwTpL?usp=drive_link,,1M,,,
Lidia Bastianich,Chef,https://en.wikipedia.org/wiki/Lidia_Bastianich,https://drive.google.com/drive/folders/15pifLFqjSG9BF4JeiEHes7B720ysRiUD?usp=drive_link,,352K,,,
,,,,,,,,
Martín Berasategui,Chef,https://en.wikipedia.org/wiki/Mart%C3%ADn_Berasategui,https://drive.google.com/drive/folders/1pMjLgEg92sCyG2A91922PhdY0LU6YCx4?usp=drive_link,,469K,,,
Mary Berry,Chef,https://en.wikipedia.org/wiki/Mary_Berry,https://drive.google.com/drive/folders/1GsnJhDUpshT3KtSLb1coHqbizC4Zz0f6?usp=drive_link,,"7,004",,,
John Besh,Chef,https://en.wikipedia.org/wiki/John_Besh,https://drive.google.com/drive/folders/1kDLPXBkOVoNBaeQMhfRxt7JygZqgIqIb?usp=drive_link,,N/A,,,
Jack Bishop,Chef,https://en.wikipedia.org/wiki/Jack_Bishop,https://drive.google.com/drive/folders/1p8og6XGxPzSqEBz28yrXleP9IIMfGVIP?usp=drive_link,,"6,014",,,
Mark Bittman,Chef,https://en.wikipedia.org/wiki/Mark_Bittman,https://drive.google.com/drive/folders/1WD0ljUFbUE94QoWBmjbYjugYlfrVqPzD?usp=sharing,,,,,
Raymond Blanc,Chef,https://en.wikipedia.org/wiki/Raymond_Blanc,https://drive.google.com/drive/folders/1BF8oiW-AtxLuPW7GAfW5fI5-ksqPqMdK?usp=share_link,,174K,,,
Martin Blunos,Chef,https://en.wikipedia.org/wiki/Martin_Blunos,https://drive.google.com/drive/folders/10mNO2gUhH4NtZsoDnzFWn-0utqMhNo_8?usp=share_link,,2788,,,
,,,,,,,,
David Bouley,Chef,https://en.wikipedia.org/wiki/David_Bouley,https://drive.google.com/drive/folders/1NfQgdw26z2CAPKPbwcIzVrTRJJ7Ubf2e?usp=share_link,,10.7K,,,
Daniel Boulud,Chef,https://en.wikipedia.org/wiki/Daniel_Boulud,https://drive.google.com/drive/folders/1d1Z92_Mi_tgKRUYTOiodMPPeypeq1yV_?usp=share_link,,417K,,,
Michel Bras,Chef,https://en.wikipedia.org/wiki/Michel_Bras,https://drive.google.com/drive/folders/1a0u0HczwT6kqHBoGzYUhlVGLdXoFQcLS?usp=share_link,,32.5K,,,
Alton Brown,Chef,https://en.wikipedia.org/wiki/Alton_Brown,https://drive.google.com/drive/folders/11Ueafua1NL6RsCBuTU_VdeLiRxZd5ZUZ?usp=share_link,,869K,,,
Andrew Carmellini,Chef,https://en.wikipedia.org/wiki/Andrew_Carmellini,https://drive.google.com/drive/folders/1h3vY4IG3CFTdDJQCIzeTI4-y_rj4rpGr?usp=share_link,,46K,,,
Michael Chiarello,Chef,https://en.wikipedia.org/wiki/Michael_Chiarello,https://drive.google.com/drive/folders/1eu9Ay4_m3PywTJETRVE4fLhU2BxGEvAy?usp=share_link,,27K,,,
Bobby Chinn,Chef,https://en.wikipedia.org/wiki/Bobby_Chinn,https://drive.google.com/drive/folders/1-KMPsNr18D3DNEhGJwdq-dJscGU3Jvgj?usp=share_link,,189K,,,
Gennaro Contaldo,Chef,https://en.wikipedia.org/wiki/Gennaro_Contaldo,https://drive.google.com/drive/folders/11YS4TFmatTtLj7VH5TChFZ77aY1tNnzJ?usp=share_link,,775K,,,
Richard Corrigan,Chef,https://en.wikipedia.org/wiki/Richard_Corrigan,https://drive.google.com/drive/folders/1b0s5wukIOM3NUnq15VO8HNMK_Fdmbbwl?usp=share_link,,48K,,,
Hélène Darroze,Chef,https://en.wikipedia.org/wiki/H%C3%A9l%C3%A8ne_Darroze,https://drive.google.com/drive/folders/1BE9ntSRfHQ0Q9Z6Wf4l1DmW0r76dDobB?usp=share_link,,688K,,,
Jean-Robert de Cavel,Chef,https://en.wikipedia.org/wiki/Jean-Robert_de_Cavel,,,,,,
Traci Des Jardins,Chef,https://en.wikipedia.org/wiki/Traci_Des_Jardins,https://drive.google.com/drive/folders/14iZY54NSOJmilKVKyGQ-aQHXWRzO2INI?usp=sharing,,12.1K,,,
Rocco DiSpirito,Chef,https://en.wikipedia.org/wiki/Rocco_DiSpirito,https://drive.google.com/drive/folders/1R0TE4MUzS6Q3bO4WBLDd4p9E4czDoHrn?usp=sharing,,323K,,,
Alain Ducasse,Chef,https://en.wikipedia.org/wiki/Alain_Ducasse,https://drive.google.com/drive/folders/1HXaTe6frzyN9ZLj--8lGVqFPutg98onn?usp=sharing,,506K,,,
Wylie Dufresne,Chef,https://en.wikipedia.org/wiki/Wylie_Dufresne,https://drive.google.com/drive/folders/1HTeq2C9q6bKdPJpLitiJXkvlA7Gmv-zF?usp=sharing,,97.6K,,,
Todd English,Chef,https://en.wikipedia.org/wiki/Todd_English,https://drive.google.com/drive/folders/1OTxBsJ9ADg2AkRRWtj6p-ENWIIzk4Qb-?usp=sharing,,477K,,,
Mary Ann Esposito,Chef,https://en.wikipedia.org/wiki/Mary_Ann_Esposito,https://drive.google.com/drive/folders/13ETaOWO8rEURWgp5OdM1zm6mO_GfRNiM?usp=sharing,,20.2K,,,
Philippe Etchebest,Chef,https://en.wikipedia.org/wiki/Philippe_Etchebest,,,,,,
Hugh Fearnley-Whittingstall,Chef,https://en.wikipedia.org/wiki/Hugh_Fearnley-Whittingstall,https://drive.google.com/drive/folders/16yEMwHL2y59vgDDF991errqZT1_KK7nX?usp=sharing,,172K,,,
Susan Feniger,Chef,https://en.wikipedia.org/wiki/Susan_Feniger,https://drive.google.com/drive/folders/1cnqmi9AB0j8kNdYdgQZWjGJV2VnOamd6?usp=sharing,,49.1K,,,
Bobby Flay,Chef,https://en.wikipedia.org/wiki/Bobby_Flay,https://drive.google.com/drive/folders/1dcYP0XyJHXJIPfCoZ1eOyvoZn_xXiGyl?usp=sharing,,1.8M,,,
Tyler Florence,Chef,https://en.wikipedia.org/wiki/Tyler_Florence,https://drive.google.com/drive/folders/1__D3_BVM-vEkdgGp4QeR_6bhT-xcS_B5?usp=sharing,,493K,,,
Zonya Foco,Chef,https://en.wikipedia.org/wiki/Zonya_Foco,,,,,,
John Folse,Chef,https://en.wikipedia.org/wiki/John_Folse,https://drive.google.com/drive/folders/1Z-4XP9ApL8cOF7jOmKfcZLmn11qojrmT?usp=sharing,,4.8K,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Alexis Gauthier,Chef,https://en.wikipedia.org/wiki/Alexis_Gauthier,https://drive.google.com/drive/folders/1kBvpSsw2qrDFGAI7t4LKKq6f-YVJ0ARP?usp=share_link,,N/A,,,
Joyce Goldstein,Chef,https://en.wikipedia.org/wiki/Joyce_Goldstein,https://drive.google.com/drive/folders/1r7mBWcXrJC-LU0G4TVwnM5tqS3UxTaxA?usp=drive_link,,,,,
Gael Greene,Chef,https://en.wikipedia.org/wiki/Gael_Greene,https://drive.google.com/drive/folders/1Sc44YpmNTZmojbDDzODPwgwlrn8nM_UJ?usp=drive_link,,,,,
Skye Gyngell,Chef,https://en.wikipedia.org/wiki/Skye_Gyngell,https://drive.google.com/drive/folders/1kJ3T3bJ2hDE-tuDzojc__NTG9DubdGl-?usp=drive_link,,43.1K,,,
Martin Hadden,Chef,https://en.wikipedia.org/wiki/Martin_Hadden,https://drive.google.com/drive/folders/1jQcDs7FdysaOcKEow62-uWg4rrLdeeUw?usp=drive_link,,N/A,,,
Ainsley Harriott,Chef,https://en.wikipedia.org/wiki/Ainsley_Harriott,https://drive.google.com/drive/folders/1Ds9wEcC0el3wOMi2QmGenTTw9-3UoTM5?usp=drive_link,,117K,,,
Angela Hartnett,Chef,https://en.wikipedia.org/wiki/Angela_Hartnett,https://drive.google.com/drive/folders/1c1Jcu6Rb2L9Xek3b8teYA-OkVp28qDHk?usp=drive_link,,161K,,,
Ingrid Hoffmann,Chef,https://en.wikipedia.org/wiki/Ingrid_Hoffmann,https://drive.google.com/drive/folders/1yO721sNnWQmopf9jXznhLSo36ORwdAnx?usp=drive_link,,45.5K,,,
Ken Hom,Chef,https://en.wikipedia.org/wiki/Ken_Hom,https://drive.google.com/drive/folders/172eiousofftbJO59H2aqvSTLRdKNq5Wk?usp=drive_link,,3 538 ,,,
Chuck Hughes,Chef,https://en.wikipedia.org/wiki/Chuck_Hughes_(chef),https://drive.google.com/drive/folders/1yJMm5BZNMUfMW4VGNoqukzJbhJ420nUQ?usp=drive_link,,,,,
Elijah Joy,Chef,https://en.wikipedia.org/wiki/Elijah_Joy,,,,,,
Sanjeev Kapoor,Chef,https://en.wikipedia.org/wiki/Sanjeev_Kapoor,https://drive.google.com/drive/folders/1GHnhpHp5yHSZqgrExNNKR6eKRED5X7ZV?usp=drive_link,,1.6M,,,
Charles M. LIEBER,Chemist,http://archive.sciencewatch.com/dr/sci/misc/Top100Chemists2000-10/,https://drive.google.com/drive/folders/1KL_f0grxKcmxU-_lOBAP-Yufz64k2-WP?usp=drive_link,,8,,,
Omar M. YAGHI,Chemist,http://archive.sciencewatch.com/dr/sci/misc/Top100Chemists2000-10/,https://drive.google.com/drive/folders/1okYyOfoxHb03qpevQ8allL7USGU0iXAr?usp=drive_link,,,,,
Hongjie DAI,Chemist,http://archive.sciencewatch.com/dr/sci/misc/Top100Chemists2000-10/,https://drive.google.com/drive/folders/1U3nqr3u16SHr2L32SiSn1WN0m7GeHFf7?usp=drive_link,,,,,
Xiaogang PENG,Chemist,http://archive.sciencewatch.com/dr/sci/misc/Top100Chemists2000-10/,https://drive.google.com/drive/folders/1cZx1Bc7RTGEHYAnPGrq6fAbBgff3ToGz?usp=share_link,,,,,
Valery V. FOKIN,Chemist,http://archive.sciencewatch.com/dr/sci/misc/Top100Chemists2000-10/,https://drive.google.com/drive/folders/1IemTMYqpc8MyR3WDslaB5QFa7JuFoQyk?usp=drive_link,,,,,
Peidong YANG,Chemist,http://archive.sciencewatch.com/dr/sci/misc/Top100Chemists2000-10/,https://drive.google.com/drive/folders/14ql1abz3BOOlsGMdWxobDnBY3wmm7Qfg?usp=drive_link,,,,,
Mark E. THOMPSON,Chemist,http://archive.sciencewatch.com/dr/sci/misc/Top100Chemists2000-10/,https://drive.google.com/drive/folders/1EE9_J2ohegyyUqJNDj8JJhFCueOZt93R?usp=drive_link,,,,,
Eric N. JACOBSEN,Chemist,http://archive.sciencewatch.com/dr/sci/misc/Top100Chemists2000-10/,https://drive.google.com/drive/folders/1P4vDLVlFEVxMrewqClY9B8xfnbwdO7xs?usp=drive_link,,,,,
David W.C. MACMILLAN,Chemist,http://archive.sciencewatch.com/dr/sci/misc/Top100Chemists2000-10/,,,,,,
Mostafa EL-SAYED,Chemist,http://archive.sciencewatch.com/dr/sci/misc/Top100Chemists2000-10/,,,,,,
Michael S. STRANO,Chemist,http://archive.sciencewatch.com/dr/sci/misc/Top100Chemists2000-10/,,,,,,
Chad A. MIRKIN,Chemist,http://archive.sciencewatch.com/dr/sci/misc/Top100Chemists2000-10/,,,,,,
Liberato MANNA,Chemist,http://archive.sciencewatch.com/dr/sci/misc/Top100Chemists2000-10/,,,,,,
Richard P. VAN DUYNE,Chemist,http://archive.sciencewatch.com/dr/sci/misc/Top100Chemists2000-10/,,,,,,
Robert H. GRUBBS,Chemist,http://archive.sciencewatch.com/dr/sci/misc/Top100Chemists2000-10/,,,,,,
Carlos F. BARBAS,Chemist,http://archive.sciencewatch.com/dr/sci/misc/Top100Chemists2000-10/,,,,,,
James R. HEATH,Chemist,http://archive.sciencewatch.com/dr/sci/misc/Top100Chemists2000-10/,,,,,,
Stephen L. BUCHWALD,Chemist,http://archive.sciencewatch.com/dr/sci/misc/Top100Chemists2000-10/,,,,,,
Stuart L. SCHREIBER,Chemist,http://archive.sciencewatch.com/dr/sci/misc/Top100Chemists2000-10/,,,,,,
Magnus Carlsen,Chess Player,https://www.chess.com/players/magnus-carlsen,https://drive.google.com/drive/folders/1aPGPVEDz2v0ZoYDuRwpdOLTCALFwxrY-?usp=drive_link,,1.3M,,,
Fabiano Caruana,Chess Player,https://www.chess.com/players/fabiano-caruana,https://drive.google.com/drive/folders/1YD1HDmSlS3dDgSHl3DN3hDesarmwhrob?usp=drive_link,,101K,,,
Ding Liren,Chess Player,https://www.chess.com/players/ding-liren,https://drive.google.com/drive/folders/1HUIwJ6jSdjBoXTxMHRZH64yA_6ZBabMx?usp=drive_link,,,,,
Ian Nepomniachtchi,Chess Player,https://www.chess.com/players/ian-nepomniachtchi,https://drive.google.com/drive/folders/1XnkeLBhvOBuzea1b2rFyBN9m0ihgszkc?usp=sharing,,,,,
Levon Aronian,Chess Player,https://www.chess.com/players/levon-aronian,https://drive.google.com/drive/folders/1YI4mroDIpZUogadwZyn5KvhNmi37s6PQ?usp=drive_link,,,,,
,,,,,,,,
Shakhriyar Mamedyarov,Chess Player,https://www.chess.com/players/shakhriyar-mamedyarov,https://drive.google.com/drive/folders/1zpcLJMbgl2nImUYzGJWdX4OohbKMfyd7?usp=drive_link,,,,,
Teimour Radjabov,Chess Player,https://www.chess.com/players/teimour-radjabov,https://drive.google.com/drive/folders/1qpuaIkxvTIbc_CW-L6nVpLyT6teFIL5S?usp=drive_link,,,,,
Wang Hao,Chess Player,https://www.chess.com/players/wang-hao,https://drive.google.com/drive/folders/1lXks4xzwwGm5Mw2GNPx2ZkDBm0tDNqdv?usp=drive_link,,,,,
Alireza Firouzja,Chess Player,https://www.chess.com/players/alireza-firouzja,,,,,,
Maxime Vachier-Lagrave,Chess Player,https://www.chess.com/players/maxime-vachier-lagrave,,,,,,
Sergey Karjakin,Chess Player,https://www.chess.com/players/sergey-karjakin,,,,,,
Viswanathan Anand,Chess Player,https://www.chess.com/players/viswanathan-anand,,,,,,
Hikaru Nakamura,Chess Player,https://www.chess.com/players/hikaru-nakamura,https://drive.google.com/drive/folders/1vlFd3yG5qEhzR5yMuWaRXThhvcYZCywG?usp=share_link,,750K,,,
Veselin Topalov,Chess Player,https://www.chess.com/players/veselin-topalov,,,,,,
Wei Yi,Chess Player,https://www.chess.com/players/wei-yi,,,,,,
Pentala Harikrishna,Chess Player,https://www.chess.com/players/pentala-harikrishna,,,,,,
Jan-Krzysztof Duda,Chess Player,https://www.chess.com/players/jan-krzysztof-duda,,,,,,
Santosh Gujrathi Vidit,Chess Player,https://www.chess.com/players/vidit-santosh-gujrathi,,,,,,
Daniil Dubov,Chess Player,https://www.chess.com/players/daniil-dubov,,,,,,
Le Quang Liem,Chess Player,https://www.chess.com/players/le-quang-liem,,,,,,
Jeffery Xiong,Chess Player,https://www.chess.com/players/jeffery-xiong,,,,,,
Evgeny Tomashevsky,Chess Player,https://www.chess.com/players/evgeny-tomashevsky,,,,,,
Jorden van Foreest,Chess Player,https://www.chess.com/players/jorden-van-foreest,,,,,,
Andrey Esipenko,Chess Player,https://www.chess.com/players/andrey-esipenko,,,,,,
Bassem Amin,Chess Player,https://www.chess.com/players/bassem-amin,,,,,,
Kirill Alekseenko,Chess Player,https://www.chess.com/players/kirill-alekseenko,,,,,,
Matthew D Sadler,Chess Player,https://www.chess.com/players/matthew-sadler,,,,,,
Samuel Shankland,Chess Player,https://www.chess.com/players/sam-shankland,,,,,,
Vladimir Fedoseev,Chess Player,https://www.chess.com/players/vladimir-fedoseev,,,,,,
,,,,,,,,
Kumar Birla,CEO,https://en.wikipedia.org/wiki/Kumar_Mangalam_Birla,https://drive.google.com/drive/folders/1nm4Oek0b65LhwwgesYRWptbxlxPvYSbN?usp=drive_link,,,,,
Shantanu Narayen,CEO,https://en.wikipedia.org/wiki/Shantanu_Narayen,https://drive.google.com/drive/folders/1YKvLibm3-pWIbLQcMeut72qELrz4AZJE?usp=drive_link,,,,,
Garo H. Armen,CEO,https://en.wikipedia.org/wiki/Garo_H._Armen,https://drive.google.com/drive/folders/1vlD0RD-mol9PThsu8yRDF32tm9h42vGk?usp=drive_link,,,,,
Guillaume Faury,CEO,https://en.wikipedia.org/wiki/Guillaume_Faury,https://drive.google.com/drive/folders/12mTWETCwnyWRzbqLbr8ojuX5M78fFJ9B?usp=sharing,,,,,
Daniel Zhang,CEO,https://en.wikipedia.org/wiki/Daniel_Zhang,https://drive.google.com/drive/folders/1t8U6dd_BpQqwntaT_Pm-CIvDJPTbk2B7?usp=share_link,,N/A,,,
Jeff Bezos,CEO,https://en.wikipedia.org/wiki/Jeff_Bezos,https://drive.google.com/drive/folders/144Xy0ATfhPZuDvBL1vT861304RsXSidP?usp=share_link,,4.1M,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Tim Cook,CEO,https://en.wikipedia.org/wiki/Tim_Cook,https://drive.google.com/drive/folders/11jHp6TaWklq7PUFqWIs_ppGZzSbykwi_?usp=sharing,,,,,
Lakshmi Niwas Mittal,CEO,https://en.wikipedia.org/wiki/Lakshmi_Niwas_Mittal,https://drive.google.com/drive/folders/1F6WtqT14vofQP4sZHCbVfQn-PnkKMlQX?usp=sharing,,,,,
John Stankey,CEO,https://en.wikipedia.org/wiki/John_Stankey,https://drive.google.com/drive/folders/1d9bgrEYNmPx0RSfb2RoY_PWrWmYjVz5n?usp=sharing,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Brian Moynihan,CEO,https://en.wikipedia.org/wiki/Brian_Moynihan,https://drive.google.com/drive/folders/1R4x80XbpSAeqRg-4TaKgX0IIA8_he4hB?usp=sharing,,,,,
Brian L. Roberts,CEO,https://en.wikipedia.org/wiki/Jes_Staley,https://drive.google.com/drive/folders/1dpdIwyh0VeGK31Fzaz_GV3S8QpUXUa5Y?usp=sharing,,,,,
Warren Buffett,CEO,https://en.wikipedia.org/wiki/Warren_Buffett,https://drive.google.com/drive/folders/1toPoEsuXHqKyiS58Q9u6F__2CR3eW71m?usp=sharing,,,,,
Hubert Joly,CEO,https://en.wikipedia.org/wiki/Hubert_Joly,https://drive.google.com/drive/folders/1LF9dU9rJI16M4HH-tRoinmQSntsYVeBG?usp=share_link,,N/A,,,
Sunil Bharti Mittal,CEO,https://en.wikipedia.org/wiki/Sunil_Mittal,https://drive.google.com/drive/folders/1WN12VlvjSGozwasvG3_Ho-mvktR18PY2?usp=drive_link,,N/A,,,
Stephen A. Schwarzman,CEO,https://en.wikipedia.org/wiki/Stephen_A._Schwarzman,https://drive.google.com/drive/folders/1PyXaGQJKdg78nbiWdsCO2UMcYsMw6gBq?usp=drive_link,,N/A,,,
Andrew Mackenzie,CEO,https://en.wikipedia.org/wiki/Andrew_Mackenzie_(businessman),https://drive.google.com/drive/folders/1qKS-ZhGD1BeTbv4bRZeDrNtVypx3zRyV?usp=drive_link,,N/A,,,
Dave Calhoun,CEO,https://en.wikipedia.org/wiki/Dave_Calhoun,https://drive.google.com/drive/folders/1zT6h0eI4UbQ3EZ4eVBU685guFjs5jeTR?usp=drive_link,,N/A,,,
Rich Lesser,CEO,https://en.wikipedia.org/wiki/Rich_Lesser,https://drive.google.com/drive/folders/1ngeRls2bQXWDCFJqGkap7fTTR__6VF7M?usp=drive_link,,N/A,,,
Bob Dudley,CEO,https://en.wikipedia.org/wiki/Bob_Dudley,https://drive.google.com/drive/folders/1og3KS5ydzFY2AylhJdfm15nXyI0NVcjs?usp=drive_link,,,,,
Denise Morrison,CEO,https://en.wikipedia.org/wiki/Denise_Morrison,https://drive.google.com/drive/folders/1XYHhMMq3O6wjHsGnop7pqNxwbXLly0r1?usp=drive_link,,,,,
Mark Shuttleworth,CEO,https://en.wikipedia.org/wiki/Mark_Shuttleworth,https://drive.google.com/drive/folders/1VmIResmoS8ldgxrZGwoiNkIVwNbmkMRt?usp=sharing,,,,,
Paul Hermelin,CEO,https://en.wikipedia.org/wiki/Paul_Hermelin,,,,,,
Jim Umpleby,CEO,https://en.wikipedia.org/wiki/Jim_Umpleby,https://drive.google.com/drive/folders/1X2f_TIMFfVpfGx1olDcjwJCgy1M2PKq9?usp=drive_link,,,,,
Evan G. Greenberg,CEO,https://en.wikipedia.org/wiki/Evan_G._Greenberg,,,,,,
Chuck Robbins,CEO,https://en.wikipedia.org/wiki/Chuck_Robbins,https://drive.google.com/drive/folders/1nG89cyKJzQbXWXZiNAobtq1LbET79OKv?usp=sharing,,,,,
Michael Corbat,CEO,https://en.wikipedia.org/wiki/Michael_Corbat,https://drive.google.com/drive/folders/1X-vOmZZmryedpDN7u8waUlBWkIWCAdt0?usp=drive_link,,,,,
Brian Humphries,CEO,https://en.wikipedia.org/wiki/Brian_Humphries_(IT_businessman),https://drive.google.com/drive/folders/1C-6faO4OWtg_KuX6XptXwPbuvvpcUmIt?usp=sharing,,,,,
Jes Staley,CEO,https://en.wikipedia.org/wiki/Brian_L._Roberts,https://drive.google.com/drive/folders/1VrOPiRWTZClUrQifqrN6PjAAhipfUu6W?usp=sharing,,,,,
Tidjane Thiam,CEO,https://en.wikipedia.org/wiki/Tidjane_Thiam,https://drive.google.com/drive/folders/19qx3OWZP3tHYW7u1azCa-ug0nvvPPeg8?usp=sharing,,,,,
James E. Thompson,CEO,https://en.wikipedia.org/wiki/James_E._Thompson,,,,,,
Michael Dell,CEO,https://en.wikipedia.org/wiki/Michael_Dell,https://drive.google.com/drive/folders/1GoN88k_x_0IqfJgmpuu2zpXtUSEhE1Ms?usp=sharing,,,,,
Christian Sewing,CEO,https://en.wikipedia.org/wiki/Christian_Sewing,https://drive.google.com/drive/folders/1y9XnpnQ6Ibo8c4UUK3y5ucilPSKi7UZ2?usp=sharing,,,,,
Frank Appel,CEO,https://en.wikipedia.org/wiki/Frank_Appel,https://drive.google.com/drive/folders/1s4wK5nXhEwPYW9CN1Lcu2w7cTj9lCO9L?usp=sharing,,,,,
Roland Dickey Jr.,CEO,https://en.wikipedia.org/wiki/Roland_Dickey_Jr.,https://drive.google.com/drive/folders/1hxYG1z11LDipoCSnSpdmQWyShnBH3z6B?usp=drive_link,,,,,
Edward D. Breen,CEO,https://en.wikipedia.org/wiki/Edward_D._Breen,,,,,,
G. V. Prasad,CEO,https://en.wikipedia.org/wiki/G._V._Prasad,,,,,,
Jeff Clarke,CEO,https://en.wikipedia.org/wiki/Jeff_Clarke_(businessman),https://drive.google.com/drive/folders/1u26VRggNbbWMbrf7hRMR1fVzaWIrWBHg?usp=sharing,,,,,
Devin Wenig,CEO,https://en.wikipedia.org/wiki/Devin_Wenig,https://drive.google.com/drive/folders/1BMVxdb0uc2ACySojsbXQMAdD9zkFiSSW?usp=sharing,,,,,
Andrew Wilson,CEO,https://en.wikipedia.org/wiki/Andrew_Wilson_(businessman),,,,,,
Börje Ekholm,CEO,https://en.wikipedia.org/wiki/B%C3%B6rje_Ekholm,,,,,,
Darren Woods,CEO,https://en.wikipedia.org/wiki/Darren_Woods,https://drive.google.com/drive/folders/1YLA3UVxXJdFssjTV3WPQmti7Svuldbq5?usp=sharing,,,,,
Carmine Di Sibio,CEO,https://en.wikipedia.org/wiki/Carmine_Di_Sibio,,,,,,
Abigail Johnson,CEO,https://en.wikipedia.org/wiki/Abigail_Johnson,,,,,,
James Michael Lafferty,CEO,https://en.wikipedia.org/wiki/James_Michael_Lafferty,,,,,,
Lachlan Murdoch,CEO,https://en.wikipedia.org/wiki/Lachlan_Murdoch,,,,,,
Daymond John,CEO,https://en.wikipedia.org/wiki/Daymond_John,https://drive.google.com/drive/folders/1ZmuiILVhMoGsAFsGPSu0uxTzoxiI_tRV?usp=drive_link,,1.4M,,,
Phebe Novakovic,CEO,https://en.wikipedia.org/wiki/Phebe_Novakovic,,,,,,
H. Lawrence Culp Jr.,CEO,https://en.wikipedia.org/wiki/H._Lawrence_Culp_Jr.,,,,,,
Mary T. Barra,CEO,https://en.wikipedia.org/wiki/Mary_T._Barra,https://drive.google.com/drive/folders/14NOdsnOlCfnKUyFJcURobmwPRoWjGx0B?usp=drive_link,,N/A,,,
Emma Walmsley,CEO,https://en.wikipedia.org/wiki/Emma_Walmsley,https://drive.google.com/drive/folders/1mZvRATUjFGp37oW1aGXLFrhsaqoX0QiW?usp=drive_link,,N/A,,,
David M. Solomon,CEO,https://en.wikipedia.org/wiki/David_M._Solomon,https://drive.google.com/drive/folders/1UjDxb0xAWM3CjBNHospPLDDb9N5wM6_9?usp=drive_link,,60.5K,,,
